weakness,asset,severity,framework_refs,recommended_fix,owner,due,status,estate,poam_id,finding_ref_id,controls,weakness_description,detector_source,weakness_source_id,original_detection_date,scheduled_completion_date,status_date,milestones,original_risk_rating,point_of_contact,cve
Administrative share exposed on filesrv.corp.local (C$/ADMIN$),filesrv.corp.local,medium,"cpg_3_I,csf_PR_AA_05,nist80053_AC-3,nist80053_AC-6,nist80053_CM-7","Disable or ACL C$/ADMIN$/IPC$ so they are not reachable off the admin network. Restrict TCP/445 (SMB) to the admin network. Confirm SMBv1 is disabled. This is a share-exposure finding, not a dialect or CVE.",,,open,DEMO: NOT A CLIENT,EGP-561E321238,NMAP-filesrv-corp-local-admin-share,"AC-3, AC-6, CM-7",filesrv.corp.local has SMB open; C$/ADMIN$ administrative shares should be restricted.,inventory-nmap (nmap),,not recorded,pending due date,2026-09-26,pending due date,Moderate,,
DKIM selector selector1 missing on mail.example.invalid,mail.example.invalid,medium,"cpg_3_L,csf_PR_DS_02,nist80053_SI-8,nist80053_SC-8,cis_9_5","Publish v=DKIM1 at <selector>._domainkey for in-SCOPE domains. This is a Seen DNS control-gap candidate, not a breach.",,,open,DEMO: NOT A CLIENT,EGP-D16867182F,DNS-mail-example-invalid-dkim-missing-selector1,"SI-8, SC-8","mail.example.invalid has no published DKIM TXT at selector1._domainkey. Control gap candidate. This is a Seen DNS/TXT observation (email_dns lane), not mailbox compromise and not a breach.",dns-email,,not recorded,pending due date,2026-09-26,pending due date,Moderate,,
DMARC missing on mail.example.invalid,mail.example.invalid,medium,"cpg_3_L,csf_PR_DS_02,nist80053_SI-8,nist80053_SC-8,cis_9_5","Publish a _dmarc TXT record (start at p=none, move to quarantine/reject). This is a Seen DNS control-gap candidate, not mailbox compromise and not a breach.",,,open,DEMO: NOT A CLIENT,EGP-EC4AD5CE77,DNS-mail-example-invalid-dmarc-missing,"SI-8, SC-8","mail.example.invalid has no published _dmarc TXT policy. Control gap candidate. This is a Seen DNS/TXT observation (email_dns lane), not mailbox compromise and not a breach.",dns-email,,not recorded,pending due date,2026-09-26,pending due date,Moderate,,
EBS default encryption enabled,vol-jump,medium,"cpg_3_K,csf_PR_DS_01,nist80053_SC-28,nist80053_SC-13","Enable EBS default encryption and encrypt the volume (or a snapshot copy). This is block-storage encryption, not an object-store policy change.",,,open,DEMO: NOT A CLIENT,EGP-06AA325F5E,CLD-ec2-ebs-default-encryption-123456789012-vol-jump,"SC-28, SC-13",EBS volume unencrypted.,cloud-prowler,ec2_ebs_default_encryption,not recorded,pending due date,2026-09-26,pending due date,Moderate,,
Expired certificate on mail.example.invalid,mail.example.invalid,medium,"cpg_3_K,csf_PR_DS_02,nist80053_SC-8,nist80053_SC-8(1),nist80053_SC-13","Require TLS 1.2 or newer, disable weak ciphers, and use a valid certificate. This is a posture finding, not a specific TLS CVE.",,,open,DEMO: NOT A CLIENT,EGP-CC9E271DC8,DNS-mail-example-invalid-cert-expired,"SC-8, SC-8(1), SC-13","mail.example.invalid presents an expired certificate in a dropped PEM/crt.sh snapshot (Seen, not a live TLS probe). This is a Seen DNS/TXT observation (email_dns lane), not mailbox compromise and not a breach.",dns-email,,not recorded,pending due date,2026-09-26,pending due date,Moderate,,
Expired certificate on vpn.example.invalid,vpn.example.invalid,medium,"cpg_3_K,csf_PR_DS_02,nist80053_SC-8,nist80053_SC-8(1),nist80053_SC-13","Require TLS 1.2 or newer, disable weak ciphers, and use a valid certificate. This is a posture finding, not a specific TLS CVE.",,,open,DEMO: NOT A CLIENT,EGP-F596DD6548,DNS-vpn-example-invalid-cert-expired,"SC-8, SC-8(1), SC-13","vpn.example.invalid presents an expired certificate in a dropped PEM/crt.sh snapshot (Seen, not a live TLS probe). This is a Seen DNS/TXT observation (email_dns lane), not mailbox compromise and not a breach.",dns-email,,not recorded,pending due date,2026-09-26,pending due date,Moderate,,
Exposed admin panel,http://10.0.0.20,medium,"cpg_3_I,csf_PR_IR_01,nist80053_AC-17,nist80053_SC-7","Move the admin UI off the public perimeter or put it behind SSO/VPN. This is a dropped httpx/EASM finding, not a live HTTP probe.",,,open,DEMO: NOT A CLIENT,EGP-CB0C07B186,VULN-exposed-panel-http-10-0-0-20,"AC-17, SC-7",Unauthenticated admin UI,vuln-scan (nuclei),exposed-panel,not recorded,pending due date,2026-09-26,pending due date,Moderate,,
External sharing is not restricted,contoso.onmicrosoft.com,medium,"cpg_3_I,csf_PR_AA_05,nist80053_AC-3,nist80053_AC-6","Disable Anyone links and restrict external sharing to approved domains. This is a dropped Scuba/SharePoint export finding, not a live API call.",,,open,DEMO: NOT A CLIENT,EGP-BF0609A3D0,SAAS-external-sharing-restricted-contoso-onmicrosoft-com,"AC-3, AC-6",Anyone links enabled on default site,saas-idp (scuba),External sharing restricted,not recorded,pending due date,2026-09-26,pending due date,Moderate,,
High-value identity,DOMAIN ADMINS@CORP.LOCAL|Domain Admins,medium,"cpg_3_H,csf_PR_AA_05,nist80053_AC-2,nist80053_AC-6","Remove standing Domain Admins members. This is a dropped identity export, not a live directory call.",,,open,DEMO: NOT A CLIENT,EGP-88E13E046B,ID-high-value-identity-domain-adminscorp-local,"AC-2, AC-6",DOMAIN ADMINS@CORP.LOCAL is marked high-value.,identity-ad,,not recorded,pending due date,2026-09-26,pending due date,Moderate,,
RDP exposed,dc.corp.local,medium,"cpg_3_I,csf_PR_IR_01,nist80053_AC-17,nist80053_SC-7","Restrict TCP/3389 (RDP) to VPN/jump hosts. Require NLA. This is an exposure finding, not a specific RDP CVE.",,,open,DEMO: NOT A CLIENT,EGP-3D3C6C703A,NMAP-dc-corp-local-3389-tcp,"AC-17, SC-7",dc.corp.local has open TCP/3389 (ms-wbt-server).,inventory-nmap (nmap),nmap-port-3389/tcp,2023-11-14,2024-02-12,2026-09-26,"M1 2023-11-28 Validate finding, confirm asset owner and scope; M2 2024-02-05 Apply fix: Restrict RDP to approved paths; M3 2024-02-12 Rescan to verify closure and attach evidence",Moderate,,
RDP exposed,filesrv.corp.local,medium,"cpg_3_I,csf_PR_IR_01,nist80053_AC-17,nist80053_SC-7","Restrict TCP/3389 (RDP) to VPN/jump hosts. Require NLA. This is an exposure finding, not a specific RDP CVE.",,,open,DEMO: NOT A CLIENT,EGP-CED04C589D,NMAP-filesrv-corp-local-3389-tcp,"AC-17, SC-7",filesrv.corp.local has open TCP/3389 (tcp).,inventory-nmap (nmap),nmap-port-3389/tcp,not recorded,pending due date,2026-09-26,pending due date,Moderate,,
Sensitive external hostname staging.example.com,staging.example.com,medium,"cpg_3_S,csf_PR_IR_01,nist80053_SC-7,cis_1_1","Do not publish vpn/admin/dev hostnames on the open internet. This is a dropped EASM finding, not a live DNS/HTTP probe.",,,open,DEMO: NOT A CLIENT,EGP-7288E1B0C0,EASM-staging-example-com,SC-7,staging.example.com is exposed on the public perimeter.,easm,,not recorded,pending due date,2026-09-26,pending due date,Moderate,,
TLS weak cipher: vpn.example.com,vpn.example.com,medium,"cpg_3_K,csf_PR_DS_02,nist80053_SC-8,nist80053_SC-8(1),nist80053_SC-13","Require TLS 1.2 or newer, disable weak ciphers, and use a valid certificate. This is a posture finding, not a specific TLS CVE.",,,open,DEMO: NOT A CLIENT,EGP-E01D68E821,EASM-vpn-example-com-tls-weak,"SC-8, SC-8(1), SC-13",vpn.example.com presents a weak TLS cipher posture (not a specific CVE).,easm,,not recorded,pending due date,2026-09-26,pending due date,Moderate,,
Write below binary dir,prod-cluster|payments-worker,medium,"cpg_4_A,csf_DE_CM_09,nist80053_SI-7,nist80053_CM-6,nist80053_AC-3","Set readOnlyRootFilesystem and drop root so the workload cannot write under binary dirs. This is a Falco file-drop signal, not a live kubectl call.",,,open,DEMO: NOT A CLIENT,EGP-BB54A1EEC9,K8S-write-below-binary-dir-prod-cluster,"SI-7, CM-6, AC-3",File below a known binary directory opened for writing (user=root pod=payments-worker),"k8s-kubescape (kubescape, falco)",Write below binary dir,not recorded,pending due date,2026-09-26,pending due date,Moderate,,
postcss line return parsing,package-lock.json,medium,"cpg_2_B,csf_PR_PS_02,nist80053_SI-2,nist80053_RA-5,cis_7_3,cis_7_4,cis_7_7","Upgrade postcss to a release that remediates CVE-2023-44270. This is a vulnerability finding, not a config-drift playbook.",,,open,DEMO: NOT A CLIENT,EGP-D100D44047,CODE-cve-2023-44270-package-lock-json,"SI-2, RA-5",Affected lockfile dependency.,code-secrets (trivy),,not recorded,pending due date,2026-09-26,pending due date,Moderate,,CVE-2023-44270
DMARC p=none on corp.example.invalid,corp.example.invalid,low,"cpg_3_L,csf_PR_DS_02,nist80053_SI-8,nist80053_SC-8,cis_9_5","Move DMARC from p=none to quarantine or reject after reviewing aggregate reports. A TXT record is Seen, not Shown mailbox protection.",,,open,DEMO: NOT A CLIENT,EGP-0CD6A1970C,DNS-corp-example-invalid-dmarc-monitor-only,"SI-8, SC-8","corp.example.invalid publishes DMARC p=none (monitor only). Control gap candidate. This is a Seen DNS/TXT observation (email_dns lane), not mailbox compromise and not a breach.",dns-email,,not recorded,pending due date,2026-09-26,pending due date,Low,,
HTTP exposed,legacy-ftp.corp.local,low,"cpg_3_I,csf_PR_IR_01,nist80053_CM-7,nist80053_SC-7",Limit the exposed service on legacy-ftp.corp.local to required networks. Confirm the listener is still needed.,,,open,DEMO: NOT A CLIENT,EGP-3CACDC27B2,NMAP-legacy-ftp-corp-local-80-tcp,"CM-7, SC-7",legacy-ftp.corp.local has open TCP/80 (http).,inventory-nmap (nmap),nmap-port-80/tcp,not recorded,pending due date,2026-09-26,pending due date,Low,,
HTTP exposed,web-01.corp.local,low,"cpg_3_I,csf_PR_IR_01,nist80053_CM-7,nist80053_SC-7",Limit the exposed service on web-01.corp.local to required networks. Confirm the listener is still needed.,,,open,DEMO: NOT A CLIENT,EGP-AB1B4DF038,NMAP-web-01-corp-local-80-tcp,"CM-7, SC-7",web-01.corp.local has open TCP/80 (http).,inventory-nmap (nmap),nmap-port-80/tcp,2023-11-14,2024-05-12,2026-09-26,"M1 2023-12-14 Validate finding, confirm asset owner and scope; M2 2024-05-05 Apply fix: Reduce unnecessary network exposure (HTTP exposed); M3 2024-05-12 Rescan to verify closure and attach evidence",Low,,
Open port 135/msrpc,dc.corp.local,low,"cpg_3_I,csf_PR_IR_01,nist80053_CM-7,nist80053_SC-7",Limit the exposed service on dc.corp.local to required networks. Confirm the listener is still needed.,,,open,DEMO: NOT A CLIENT,EGP-C84FA935DD,NMAP-dc-corp-local-135-tcp,"CM-7, SC-7",dc.corp.local has open TCP/135 (msrpc).,inventory-nmap (nmap),nmap-port-135/tcp,2023-11-14,2024-05-12,2026-09-26,"M1 2023-12-14 Validate finding, confirm asset owner and scope; M2 2024-05-05 Apply fix: Reduce unnecessary network exposure (Open port 135/msrpc); M3 2024-05-12 Rescan to verify closure and attach evidence",Low,,
Open port 139/netbios-ssn,filesrv.corp.local,low,"cpg_3_I,csf_PR_IR_01,nist80053_CM-7,nist80053_SC-7",Limit the exposed service on filesrv.corp.local to required networks. Confirm the listener is still needed.,,,open,DEMO: NOT A CLIENT,EGP-F952D177BF,NMAP-filesrv-corp-local-139-tcp,"CM-7, SC-7",filesrv.corp.local has open TCP/139 (netbios-ssn).,inventory-nmap (nmap),nmap-port-139/tcp,not recorded,pending due date,2026-09-26,pending due date,Low,,
Open port 389/ldap,dc.corp.local,low,"cpg_3_I,csf_PR_IR_01,nist80053_CM-7,nist80053_SC-7",Limit the exposed service on dc.corp.local to required networks. Confirm the listener is still needed.,,,open,DEMO: NOT A CLIENT,EGP-470D8E6BC5,NMAP-dc-corp-local-389-tcp,"CM-7, SC-7",dc.corp.local has open TCP/389 (ldap).,inventory-nmap (nmap),nmap-port-389/tcp,2023-11-14,2024-05-12,2026-09-26,"M1 2023-12-14 Validate finding, confirm asset owner and scope; M2 2024-05-05 Apply fix: Reduce unnecessary network exposure (Open port 389/ldap); M3 2024-05-12 Rescan to verify closure and attach evidence",Low,,
Open port 88/kerberos-sec,dc.corp.local,low,"cpg_3_I,csf_PR_IR_01,nist80053_CM-7,nist80053_SC-7",Limit the exposed service on dc.corp.local to required networks. Confirm the listener is still needed.,,,open,DEMO: NOT A CLIENT,EGP-591DBD3BA9,NMAP-dc-corp-local-88-tcp,"CM-7, SC-7",dc.corp.local has open TCP/88 (kerberos-sec).,inventory-nmap (nmap),nmap-port-88/tcp,2023-11-14,2024-05-12,2026-09-26,"M1 2023-12-14 Validate finding, confirm asset owner and scope; M2 2024-05-05 Apply fix: Reduce unnecessary network exposure (Open port 88/kerberos-sec); M3 2024-05-12 Rescan to verify closure and attach evidence",Low,,
SPF softfail-only on mail.example.invalid,mail.example.invalid,low,"cpg_3_L,csf_PR_DS_02,nist80053_SI-8,nist80053_SC-8,cis_9_5","Move SPF from ~all to -all once senders are inventoried. Softfail-only is a hygiene gap, not a breach.",,,open,DEMO: NOT A CLIENT,EGP-34512E247F,DNS-mail-example-invalid-spf-softfail-only,"SI-8, SC-8","mail.example.invalid publishes SPF ~all only. Control gap candidate, not a breach. This is a Seen DNS/TXT observation (email_dns lane), not mailbox compromise and not a breach.",dns-email,,not recorded,pending due date,2026-09-26,pending due date,Low,,
SSH exposed,10.0.0.40,low,"cpg_3_I,csf_PR_IR_01,nist80053_CM-7,nist80053_SC-7",Limit the exposed service on 10.0.0.40 to required networks. Confirm the listener is still needed.,,,open,DEMO: NOT A CLIENT,EGP-7726E46AF1,NMAP-10-0-0-40-22-tcp,"CM-7, SC-7",10.0.0.40 has open TCP/22 (ssh).,inventory-nmap (nmap),nmap-port-22/tcp,2023-11-14,2024-05-12,2026-09-26,"M1 2023-12-14 Validate finding, confirm asset owner and scope; M2 2024-05-05 Apply fix: Reduce unnecessary network exposure (SSH exposed); M3 2024-05-12 Rescan to verify closure and attach evidence",Low,,
